date,positive,negative,pending
6/3/2020,0,430,
7/3/2020,0,432,
8/3/2020,0,567,
9/3/2020,0,574,
10/3/2020,0,,
11/3/2020,1,600,
12/3/2020,3,,
13/3/2020,3,736,17
14/3/2020,3,1294,24
15/3/2020,,,
16/3/2020,5,1406,19
17/3/2020,10,1451,7
18/3/2020,17,1522,7
19/3/2020,17,1684,7
20/3/2020,23,1990,7
21/3/2020,24,2063,17
22/3/2020,24,2245,23
23/3/2020,24,2499,16
24/3/2020,26,2539,16
25/3/2020,33,2845,16
26/3/2020,52,3130,17
27/3/2020,57,3732,17
28/3/2020,64,4226,27
29/3/2020,68,4716,19
30/3/2020,72,5177,20
31/3/2020,79,5348,18
1/4/2020,99,5927,20
2/4/2020,103,6463,38
3/4/2020,107,7562,21
4/4/2020,112,8207,21
5/4/2020,114,8684,20
6/4/2020,,,
7/4/2020,,,
