date,positive,negative,pending
15/2/2020,8,,
16/2/2020,8,,
17/2/2020,8,,
18/2/2020,8,230,13
19/2/2020,8,241,17
20/2/2020,8,283,4
21/2/2020,8,,
22/2/2020,8,,
23/2/2020,8,299,0
24/2/2020,8,,
25/2/2020,8,,
26/2/2020,8,308,0
27/2/2020,8,,
28/2/2020,8,,
29/2/2020,8,312,10
1/3/2020,10,316,130
2/3/2020,10,,
3/3/2020,17,455,73
4/3/2020,31,529,180
5/3/2020,36,603,181
6/3/2020,,,170
7/3/2020,,,
8/3/2020,79,,
9/3/2020,96,,
10/3/2020,108,918,77
11/3/2020,124,942,77
12/3/2020,127,,
13/3/2020,128,1196,9
14/3/2020,131,1285,9
15/3/2020,,,
16/3/2020,135,1285,9
17/3/2020,135,1285,9
18/3/2020,135,1285,9
19/3/2020,135,1285,9
20/3/2020,177,1285,9
21/3/2020,202,1315,45
22/3/2020,202,1315,45
23/3/2020,202,1315,45
24/3/2020,249,1315,45
25/3/2020,343,3063,45
26/3/2020,496,3231,45
27/3/2020,579,7231,45
28/3/2020,586,8913,1225
29/3/2020,614,9881,1226
30/3/2020,650,9917,1362
31/3/2020,671,10364,1094
1/4/2020,735,11265,894
2/4/2020,774,11660,877
3/4/2020,801,11718,922
4/4/2020,847,11850,1099
5/4/2020,944,12600,1277
6/4/2020,,,
