date,positive,negative,pending
15/2/2020,12,,
16/2/2020,12,,
17/2/2020,12,,
18/2/2020,12,545,26
19/2/2020,12,571,31
20/2/2020,12,575,40
21/2/2020,12,,
22/2/2020,12,,
23/2/2020,12,707,48
24/2/2020,12,,
25/2/2020,12,,
26/2/2020,12,767,41
27/2/2020,,,
28/2/2020,15,,
29/2/2020,15,827,46
1/3/2020,17,888,41
2/3/2020,17,,
3/3/2020,17,963,97
4/3/2020,17,1005,116
5/3/2020,17,1060,97
6/3/2020,,,
7/3/2020,,,
8/3/2020,18,,
9/3/2020,19,,
10/3/2020,19,1412,185
11/3/2020,22,1502,162
12/3/2020,26,,
13/3/2020,64,1642,322
14/3/2020,102,1671,487
15/3/2020,,,
16/3/2020,411,2716,783
17/3/2020,93,1697,609
18/3/2020,123,2004,1029
19/3/2020,170,2034,1413
20/3/2020,204,2039,1439
21/3/2020,266,2056,1790
22/3/2020,258,2235,1835
23/3/2020,347,2237,2017
24/3/2020,361,2385,2057
25/3/2020,361,2385,2276
26/3/2020,364,2479,2276
27/3/2020,386,3955,2080
28/3/2020,461,4474,2491
29/3/2020,532,4718,2464
30/3/2020,,,
