date,pui,close-contact,tabligh,surveillance,hadr
15/2/2020,12,8,-,0,2
16/2/2020,12,8,-,0,2
17/2/2020,12,8,-,0,2
18/2/2020,12,8,-,0,2
19/2/2020,12,8,-,0,2
20/2/2020,12,8,-,0,2
21/2/2020,12,8,-,0,2
22/2/2020,12,8,-,0,2
23/2/2020,12,8,-,0,2
24/2/2020,12,8,-,0,2
25/2/2020,12,8,-,0,2
26/2/2020,12,8,-,0,2
27/2/2020,,,-,0,2
28/2/2020,15,8,-,0,2
29/2/2020,15,8,-,0,2
1/3/2020,17,10,-,0,2
2/3/2020,17,10,-,0,2
3/3/2020,17,17,-,0,2
4/3/2020,17,31,-,0,2
5/3/2020,17,36,-,0,2
6/3/2020,,,-,0,2
7/3/2020,,,-,0,2
8/3/2020,18,79,-,0,2
9/3/2020,19,96,-,0,2
10/3/2020,19,108,-,0,2
11/3/2020,22,124,-,1,2
12/3/2020,26,127,-,3,2
13/3/2020,64,128,-,3,2
14/3/2020,102,131,-,3,2
15/3/2020,,,-,,2
16/3/2020,411,135,-,5,2
17/3/2020,93,135,433,10,2
18/3/2020,123,135,513,17,2
19/3/2020,170,135,576,17,2
20/3/2020,204,177,624,23,2
21/3/2020,266,202,689,24,2
22/3/2020,258,202,820,24,2
23/3/2020,347,202,943,24,2
24/3/2020,361,249,986,26,2
25/3/2020,361,343,1057,33,2
26/3/2020,364,496,1117,52,2
27/3/2020,386,579,1137,57,2
28/3/2020,461,586,1207,64,2
29/3/2020,532,614,1254,68,2
30/3/2020,612,650,1290,72,2
31/3/2020,683,671,1331,79,2
1/4/2020,702,735,1370,99,2
2/4/2020,830,774,1407,103,2
3/4/2020,958,801,1465,107,2
4/4/2020,977,847,1545,112,2
5/4/2020,1011,944,1591,114,2
6/4/2020,,,,,
7/4/2020,1073,1116,1657,115,2
8/4/2020,1147,1173,1682,115,2
9/4/2020,1171,1238,1701,116,2
10/4/2020,2508,-,1720,116,2
11/4/2020,2642,-,1770,116,2
12/4/2020,2738,-,1822,121,2
13/4/2020,2843,-,1850,122,2
14/4/2020,2951,-,1904,130,2
15/4/2020,3013,-,1924,133,2
16/4/2020,3107,-,1939,134,2
17/4/2020,3167,-,1946,136,2
18/4/2020,3218,-,1946,139,2
19/4/2020,3298,-,1950,139,2
20/4/2020,3333,-,1951,139,2
21/4/2020,3376,-,1963,141,2
22/4/2020,3410,-,1978,142,2
23/4/2020,3446,-,2013,142,2
24/4/2020,3465,-,2075,149,2
25/4/2020,3478,-,2112,150,2
26/4/2020,3498,-,2130,150,2
27/4/2020,3521,-,2147,150,2
28/4/2020,3542,-,2155,152,2
29/4/2020,3547,-,2167,157,74
30/4/2020,3591,-,2173,164,74
1/5/2020,,-,,,
