date,total,ended,increase
01/12/2020,364,184,33
02/12/2020,369,186,44
03/12/2020,373,189,43
04/12/2020,381,193,49
05/12/2020,385,198,49
06/12/2020,388,201,49
07/12/2020,390,203,51
08/12/2020,392,207,41
09/12/2020,396,211,38
10/12/2020,401,214,57
11/12/2020,407,217,48
12/12/2020,410,221,56
13/12/2020,416,225,52
14/12/2020,418,227,46
15/12/2020,418,229,55
16/12/2020,426,230,51
17/12/2020,429,236,41
18/12/2020,435,238,60
19/12/2020,440,241,41
20/12/2020,443,244,44
21/12/2020,451,250,44
22/12/2020,459,253,52
23/12/2020,464,256,43
24/12/2020,468,262,53
25/12/2020,472,268,50
26/12/2020,483,268,59
27/12/2020,484,271,45
28/12/2020,489,275,54
29/12/2020,498,278,50
30/12/2020,506,283,53
31/12/2020,511,286,49
01/01/2021,514,290,54
02/01/2021,523,294,45
03/01/2021,532,300,59
04/01/2021,537,306,50
05/01/2021,548,306,53
06/01/2021,561,309,62
07/01/2021,570,316,52
08/01/2021,576,319,57
09/01/2021,581,325,58
10/01/2021,586,332,65
11/01/2021,594,336,68
12/01/2021,605,344,77
13/01/2021,616,346,71
14/01/2021,623,347,78
15/01/2021,635,351,85
16/01/2021,641,356,71
17/01/2021,651,359,86
18/01/2021,660,361,81
19/01/2021,669,364,81
20/01/2021,685,685,84
21/01/2021,701,701,84
22/01/2021,713,713,86
23/01/2021,724,724,84
24/01/2021,733,733,69
25/01/2021,746,746,84
26/01/2021,753,753,95
27/01/2021,770,770,80
28/01/2021,779,779,89
29/01/2021,791,791,89
30/01/2021,807,807,97
31/01/2021,817,817,83
01/02/2021,831,831,73
02/02/2021,838,838,70
03/02/2021,851,851,108
04/02/2021,861,861,90
05/02/2021,876,876,88
06/02/2021,888,888,93
07/02/2021,895,895,81
08/02/2021,908,908,79
09/02/2021,920,920,93
