date,perlis,kedah,pulau-pinang,perak,selangor,negeri-sembilan,melaka,johor,pahang,terengganu,kelantan,sabah,sarawak,wp-kuala-lumpur,wp-putrajaya,wp-labuan
13/3/2020,1,5,7,2,87,11,1,20,2,0,3,15,0,40,1,2
14/3/2020,2,5,7,2,92,19,6,22,2,0,3,26,6,43,1,2
15/3/2020,,,,,,,,,,,,,,,,
16/3/2020,8,31,15,18,144,42,14,52,19,4,18,57,21,106,-,4
17/3/2020,8,31,23,23,161,45,17,77,28,7,25,82,29,113,-,4
18/3/2020,8,36,30,28,192,45,18,88,29,10,30,103,49,119,-,5
19/3/2020,9,40,32,35,223,56,20,101,32,11,44,112,51,123,6,5
20/3/2020,9,41,37,45,263,65,22,114,36,20,51,119,58,139,6,5
21/3/2020,9,47,50,55,292,70,22,129,37,27,61,136,68,166,9,5
22/3/2020,9,52,58,66,309,78,23,145,40,32,63,158,76,183,9,5
23/3/2020,9,59,66,81,354,94,25,158,56,38,71,169,78,242,13,5
24/3/2020,9,64,68,98,381,109,31,162,56,38,78,170,83,257,15,5
25/3/2020,10,69,70,128,435,123,33,196,64,38,84,170,85,270,16,5
26/3/2020,10,72,74,151,510,132,33,239,66,39,94,172,95,321,18,5
27/3/2020,10,73,80,159,546,138,33,259,70,41,98,182,110,323,34,5
28/3/2020,10,74,86,165,579,153,42,285,84,45,108,197,118,344,20,10
29/3/2020,10,75,87,176,612,162,43,309,96,47,123,197,129,372,22,10
30/3/2020,11,77,88,184,672,172,50,333,99,47,127,201,135,396,24,10
31/3/2020,12,77,94,189,704,181,52,349,102,47,131,206,156,430,26,10
1/4/2020,12,79,96,194,726,189,63,368,111,48,134,209,188,455,26,10
2/4/2020,12,80,98,200,800,207,70,395,114,50,137,210,211,488,34,10
3/4/2020,12,81,98,205,863,211,73,416,127,68,137,215,239,543,35,10
4/4/2020,12,81,99,207,890,220,75,422,151,74,139,225,246,595,36,11
5/4/2020,13,82,101,213,943,231,89,438,158,84,141,238,261,622,37,11
6/4/2020,13,85,101,219,970,239,99,468,161,90,142,240,273,640,41,12
7/4/2020,17,90,102,233,1020,261,103,478,166,90,147,241,288,671,43,13
8/4/2020,17,91,108,237,1078,270,116,496,169,93,147,248,306,685,45,13
9/4/2020,17,93,108,241,1118,281,119,503,183,98,148,248,312,699,47,13
10/4/2020,17,93,109,242,1148,292,133,523,187,101,149,250,327,713,49,13
11/4/2020,17,93,114,243,1183,309,141,544,214,102,151,260,334,759,51,15
12/4/2020,17,93,116,244,1236,318,144,558,225,102,152,266,342,803,52,15
13/4/2020,17,93,116,247,1249,360,144,579,225,106,154,280,348,830,54,15
14/4/2020,18,93,119,250,1299,362,147,587,236,106,154,285,363,899,54,15
15/4/2020,18,94,119,250,1316,363,147,601,253,106,154,285,371,926,54,15
16/4/2020,18,94,119,251,1329,389,147,614,261,108,155,288,387,952,55,15
17/4/2020,18,94,119,252,1338,402,148,623,262,108,155,293,397,971,55,16
18/4/2020,18,94,119,252,1340,405,148,639,264,109,155,303,403,985,55,16
19/4/2020,18,94,119,252,1343,405,185,642,269,109,155,306,408,1004,64,16
20/4/2020,18,94,119,252,1345,408,187,644,271,109,155,308,414,1008,77,16
21/4/2020,18,94,119,252,1356,409,188,645,279,109,155,308,436,1021,77,16
23/4/2020,18,95,119,252,1357,411,189,648,285,109,155,308,455,1037,78,16
22/4/2020,,,,,,,,,,,,,,,,
