date,baling,kota-setar,kuala-muda,kubang-pasu,kulim,langkawi,padang-terap,pendang,bandar-bahru,sik,yan
24/3/2020,1,15,27,7,5,3,1,3,1,1,0
25/3/2020,1,19,28,7,5,3,1,3,1,1,0
26/3/2020,1,22,28,7,5,3,1,3,1,1,0
27/3/2020,1,22,29,7,5,3,1,3,1,1,0
28/3/2020,1,22,29,7,5,4,1,3,1,1,0
29/3/2020,1,22,30,7,5,4,1,3,1,1,0
30/3/2020,1,22,30,7,7,4,1,3,1,1,0
31/3/2020,1,22,30,7,7,4,1,3,1,1,0
1/4/2020,1,22,30,8,8,4,1,3,1,1,0
2/4/2020,1,23,31,8,7,4,1,3,1,1,0
3/4/2020,1,23,32,8,7,4,1,3,1,1,0
4/4/2020,1,23,32,8,7,4,1,3,1,1,0
5/4/2020,1,23,33,8,7,4,1,3,1,1,0
6/4/2020,1,24,33,8,9,4,1,3,1,1,0
7/4/2020,1,26,35,8,10,4,1,3,1,1,0
8/4/2020,1,26,35,8,11,4,1,3,1,1,0
9/4/2020,1,26,35,8,13,4,1,3,1,1,0
10/4/2020,1,26,35,8,13,4,1,3,1,1,0
11/4/2020,1,26,35,8,13,4,1,3,1,1,0
12/4/2020,1,26,35,8,13,4,1,3,1,1,0
13/4/2020,1,26,35,8,13,4,1,3,1,1,0
14/4/2020,1,26,35,8,13,4,1,3,1,1,0
15/4/2020,1,27,35,8,13,4,1,3,1,1,0
16/4/2020,1,27,35,8,13,4,1,3,1,1,0
17/4/2020,1,27,35,8,13,4,1,3,1,1,0
18/4/2020,1,27,35,8,13,4,1,3,1,1,0
19/4/2020,1,27,35,8,13,4,1,3,1,1,0
20/4/2020,1,27,35,8,13,4,1,3,1,1,0
21/4/2020,1,27,35,8,13,4,1,3,1,1,0
22/4/2020,1,28,35,8,13,4,1,3,1,1,0
