date,alor-gajah,jasin,melaka-tengah,under-investigation
24/3/2020,6,15,7,2
25/3/2020,8,16,7,2
26/3/2020,8,16,7,2
27/3/2020,8,16,7,2
28/3/2020,9,17,16,0
29/3/2020,9,18,16,0
30/3/2020,14,18,18,0
31/3/2020,14,19,19,0
1/4/2020,18,24,21,0
2/4/2020,20,28,22,0
3/4/2020,21,28,24,0
4/4/2020,21,28,26,0
5/4/2020,23,38,28,0
6/4/2020,25,42,32,0
7/4/2020,25,42,36,0
8/4/2020,27,53,36,0
9/4/2020,28,54,37,0
10/4/2020,28,61,44,0
11/4/2020,28,67,46,0
12/4/2020,28,68,48,0
13/4/2020,28,68,48,0
14/4/2020,28,68,51,0
15/4/2020,28,68,51,0
16/4/2020,,,,
