date,bentong,jerantut,bera,raub,lipis,cameron,kuantan,maran,pekan,temerloh,rompin
24/3/2020,5,17,1,0,1,0,12,1,17,2,0
25/3/2020,5,17,4,1,1,0,13,2,18,3,0
26/3/2020,5,17,4,1,2,1,13,2,18,3,0
27/3/2020,5,17,6,1,2,1,15,2,18,3,0
28/3/2020,5,26,10,1,2,1,15,3,18,3,0
29/3/2020,6,27,9,1,3,1,19,5,20,4,1
30/3/2020,6,27,9,1,3,1,21,5,20,4,2
31/3/2020,6,27,9,1,3,1,24,5,20,4,2
1/4/2020,6,33,9,1,3,2,24,5,21,5,2
2/4/2020,6,33,9,1,3,2,27,5,21,5,2
3/4/2020,7,41,10,1,3,2,29,5,22,5,2
4/4/2020,7,58,9,1,4,2,36,5,22,5,2
5/4/2020,10,60,9,1,6,2,36,5,22,5,2
6/4/2020,11,61,9,1,6,2,36,5,23,5,2
7/4/2020,11,61,9,1,7,1,40,6,23,5,2
8/4/2020,11,61,9,1,7,1,43,6,23,5,2
9/4/2020,15,63,9,1,7,1,50,6,23,5,3
10/4/2020,15,63,9,1,7,1,53,6,23,6,3
11/4/2020,15,64,9,1,9,1,76,6,23,7,3
12/4/2020,15,70,9,1,9,2,80,6,23,7,3
13/4/2020,15,70,9,1,9,2,80,6,23,7,3
14/4/2020,15,70,9,1,9,2,91,6,23,7,3
15/4/2020,15,72,9,1,9,2,106,6,23,7,3
16/4/2020,15,72,9,1,9,2,114,6,23,7,3
17/4/2020,15,72,10,1,9,2,114,6,23,7,3
18/4/2020,,,,,,,,,,,
