date,hillir-perak,kinta,perak-tengah,larut-matang-selama,manjung,kuala-kangsar,hulu-perak,kerian,batang-padang,muallim,kampar
24/3/2020,32,34,7,5,7,0,2,7,3,1,0
25/3/2020,48,41,7,5,8,1,5,9,3,1,0
26/3/2020,52,56,7,8,9,1,5,9,3,1,0
27/3/2020,53,63,7,8,9,1,5,9,3,1,0
28/3/2020,53,66,7,8,9,1,5,12,3,1,0
29/3/2020,52,75,7,10,9,1,5,13,3,1,0
30/3/2020,56,76,7,11,11,1,5,13,3,1,0
31/3/2020,57,77,7,11,12,2,5,13,3,2,0
1/4/2020,60,77,7,12,13,2,5,13,3,2,0
2/4/2020,61,79,7,14,14,2,5,13,3,2,0
3/4/2020,61,82,7,15,15,2,5,13,3,2,0
4/4/2020,61,82,7,16,16,2,5,13,3,2,0
5/4/2020,65,84,7,16,16,2,5,13,3,2,0
6/4/2020,65,87,9,16,16,2,6,13,3,2,0
7/4/2020,66,93,9,17,16,2,6,16,3,5,0
8/4/2020,66,94,9,17,19,2,6,16,3,5,0
9/4/2020,66,97,9,18,19,2,6,16,3,5,0
10/4/2020,66,97,9,19,19,2,6,16,3,5,0
11/4/2020,66,98,9,19,19,2,6,16,3,5,0
12/4/2020,64,93,11,17,22,4,6,17,3,5,2
13/4/2020,65,93,11,17,22,4,6,19,3,5,2
14/4/2020,65,93,11,18,22,4,6,19,4,5,2
15/4/2020,65,93,11,18,22,4,6,19,4,5,2
16/4/2020,65,93,11,18,23,4,6,19,4,5,2
17/4/2020,65,94,11,18,23,4,6,19,4,5,2
18/4/2020,65,94,11,18,23,4,6,19,4,5,2
19/4/2020,65,94,11,18,23,4,6,19,4,5,2
20/4/2020,65,94,11,18,23,4,6,19,4,5,2
21/4/2020,65,94,11,18,23,4,6,19,4,5,2
22/4/2020,65,94,11,18,23,4,6,19,4,5,2
23/4/2020,65,94,11,18,23,4,6,19,4,5,2
