date,beaufort,kinabatangan,kota-belud,kota-kinabalu,kunak,lahad-datu,papar,putatan,sandakan,semporna,sipitang,tawau,ranau,tuaran,keningau,kota-marudu,kudat,nabawan,pitas,tambunan,tenom,penampang,kuala-penyu,tongod,beluran
24/3/2020,6,11,5,24,5,34,2,4,11,1,4,49,2,12,0,0,0,0,0,0,0,0,0,0,0
25/3/2020,6,11,5,24,5,34,2,4,11,1,4,49,2,12,0,0,0,0,0,0,0,0,0,0,0
26/3/2020,6,11,5,25,5,34,2,4,11,1,4,50,2,12,0,0,0,0,0,0,0,0,0,0,0
27/3/2020,7,11,5,27,7,34,2,6,11,1,4,53,2,12,0,0,0,0,0,0,0,0,0,0,0
28/3/2020,7,14,5,30,7,34,2,6,15,1,4,57,2,12,1,0,0,0,0,0,0,0,0,0,0
29/3/2020,7,14,5,30,7,34,2,6,15,1,4,57,2,12,1,0,0,0,0,0,0,0,0,0,0
30/3/2020,7,14,5,29,7,34,2,7,15,1,4,60,2,12,0,0,0,0,0,1,0,1,0,0,0
31/3/2020,7,14,5,29,7,35,2,7,16,1,4,63,2,12,0,0,0,0,0,1,0,1,0,0,0
1/4/2020,7,14,5,29,7,35,2,7,17,2,4,63,2,12,0,0,0,0,0,1,0,1,0,0,0
2/4/2020,8,14,5,29,7,35,2,7,17,2,4,63,2,12,0,0,0,0,0,1,0,2,0,0,0
3/4/2020,8,14,5,29,7,36,2,7,19,2,4,63,2,12,0,0,0,0,0,1,0,4,0,0,0
4/4/2020,8,14,5,29,7,38,2,7,19,2,4,67,2,16,0,0,0,0,0,1,0,4,0,0,0
5/4/2020,,,,,,,,,,,,,,,,,,,,,,,,,
