date,kuching,bau,lundu,kota-samarahan,asajaya,simunjan,serian,tebedu,sri-aman,lubok-antu,betong,saratok,pusa,kabong,sarikei,meradong,julau,pakan,sibu,kanowit,selangau,mukah,dalat,matu,daro,tanjung-manis,bintulu,tatau,sebauh,kapit,belaga,song,bukit-mabong,miri,marudi,subis,beluru,telung-usan,limbang,lawas,under-investigation
24/3/2020,44,0,0,2,0,1,2,0,0,0,7,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,6,1,0
25/3/2020,45,0,0,2,0,1,2,0,0,0,7,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,6,1,0
26/3/2020,52,0,0,3,0,1,2,0,0,0,7,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,6,1,0
27/3/2020,66,0,0,4,0,1,2,0,0,0,7,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,6,1,0
28/3/2020,72,0,0,4,0,1,3,0,0,0,8,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,6,1,0
29/3/2020,78,0,0,9,0,1,3,0,0,0,8,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,6,1,0
30/3/2020,81,0,0,9,0,1,3,0,0,0,9,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,6,1,0
31/3/2020,97,0,0,11,0,1,4,0,1,0,9,0,0,0,5,0,0,0,3,0,0,2,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,6,1,0
1/4/2020,128,0,0,12,0,1,4,0,1,0,9,0,0,0,5,0,0,0,3,0,0,2,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,6,1,0
2/4/2020,141,0,0,20,0,1,4,0,1,0,11,0,0,0,5,0,0,0,3,0,0,2,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,6,1,0
3/4/2020,153,0,0,25,0,1,5,0,1,0,11,0,0,0,5,0,0,0,3,0,0,2,0,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,7,1,7
4/4/2020,155,0,0,30,0,1,5,0,1,0,11,0,0,0,5,0,0,0,3,0,0,2,0,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,7,1,7
5/4/2020,165,0,0,36,0,1,6,0,1,0,13,0,0,0,6,0,0,0,4,0,0,1,0,1,0,0,5,0,0,0,0,0,0,14,0,0,0,0,7,1,0
6/4/2020,174,0,0,36,0,1,7,0,1,0,14,0,0,0,6,0,0,0,4,0,0,1,0,1,0,0,6,0,0,0,0,0,0,14,0,0,0,0,7,1,0
7/4/2020,182,0,0,42,0,1,7,0,1,0,14,0,0,0,6,0,0,0,4,0,0,1,0,1,0,0,6,0,0,0,0,0,0,15,0,0,0,0,7,1,0
8/4/2020,192,0,0,45,0,2,7,0,1,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,6,0,0,0,0,0,0,15,0,0,0,0,8,1,0
9/4/2020,196,0,0,45,0,3,7,0,1,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,7,0,0,0,0,0,0,15,0,0,0,0,8,1,0
10/4/2020,209,0,0,46,0,3,7,0,1,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,8,0,0,0,0,0,0,15,0,0,0,0,8,1,0
11/4/2020,215,0,0,47,0,3,7,0,1,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,8,0,0,0,0,0,0,15,0,0,0,0,8,1,0
12/4/2020,221,0,0,49,0,3,7,0,1,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,8,0,0,0,0,0,0,15,0,0,0,0,8,1,0
13/4/2020,227,0,0,49,0,3,7,0,1,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,8,0,0,0,0,0,0,15,0,0,0,0,8,1,0
14/4/2020,240,0,0,51,0,3,7,0,1,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,8,0,0,0,0,0,0,15,0,0,0,0,8,1,0
15/4/2020,245,0,0,54,0,3,7,0,1,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,8,0,0,0,0,0,0,15,0,0,0,0,8,1,0
16/4/2020,255,0,0,55,0,3,9,0,1,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,9,0,0,0,0,0,0,17,0,0,0,0,8,1,0
17/4/2020,258,0,0,59,0,3,9,0,1,0,17,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,9,0,0,0,0,0,0,19,0,0,0,0,8,1,0
18/4/2020,257,1,0,61,2,5,10,0,1,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,9,0,0,0,0,0,0,19,0,0,0,0,8,1,0
19/4/2020,260,1,0,62,2,5,10,0,2,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,9,0,0,0,0,0,0,19,0,0,0,0,8,1,0
20/4/2020,264,1,0,62,2,5,10,0,2,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,11,0,0,0,0,0,0,19,0,0,0,0,8,1,0
21/4/2020,280,1,0,68,2,5,11,0,2,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,11,0,0,0,0,0,0,19,0,0,0,0,8,1,0
22/4/2020,285,1,0,77,2,5,13,0,2,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,11,0,0,0,0,0,0,20,0,0,0,0,8,1,0
23/4/2020,285,2,0,78,3,6,13,0,2,0,16,0,0,0,6,0,0,0,5,0,0,1,0,1,0,0,11,0,0,0,0,0,0,21,0,0,0,0,8,1,0
