date,petaling,hulu-langat,gombak,klang,kuala-selangor,sepang,kuala-langat,sabak-bernam,hulu-selangor,under-investigation
24/3/2020,158,103,50,28,17,9,8,0,5,3
25/3/2020,167,132,53,35,18,9,10,1,7,3
26/3/2020,176,186,54,44,18,9,12,1,7,3
27/3/2020,190,202,55,46,18,10,14,1,7,3
28/3/2020,209,206,57,51,18,11,14,1,9,3
29/3/2020,223,209,59,62,18,12,15,1,10,3
30/3/2020,224,258,59,70,18,14,15,1,10,3
31/3/2020,234,265,62,74,19,17,16,2,12,3
1/4/2020,242,273,63,76,19,17,16,4,16,0
2/4/2020,274,287,70,80,26,21,18,6,18,0
3/4/2020,292,302,76,88,32,22,20,7,24,0
4/4/2020,308,307,77,88,32,23,20,9,26,0
5/4/2020,292,318,100,109,29,39,21,10,25,0
6/4/2020,296,324,110,112,30,39,22,10,27,0
7/4/2020,306,345,111,123,30,46,22,10,27,0
8/4/2020,318,361,117,134,30,47,23,13,34,1
9/4/2020,314,366,121,152,29,59,23,11,43,0
10/4/2020,328,368,123,159,30,59,23,14,44,0
11/4/2020,335,378,125,169,31,61,24,15,45,0
12/4/2020,356,388,132,172,32,66,25,17,48,0
13/4/2020,346,419,133,164,33,66,25,18,45,0
14/4/2020,359,433,141,167,35,67,25,23,49,0
15/4/2020,363,440,142,171,35,68,25,23,49,0
16/4/2020,366,446,143,172,35,70,25,23,49,0
17/4/2020,371,445,144,173,35,70,27,23,50,0
18/4/2020,373,445,144,173,35,70,27,23,50,0
19/4/2020,375,446,144,173,35,70,27,23,50,0
20/4/2020,374,446,144,173,35,71,29,23,50,0
21/4/2020,371,446,144,173,35,71,32,23,50,0
22/4/2020,372,446,144,173,35,71,32,23,50,0
23/4/2020,371,456,146,173,35,71,32,23,50,0
24/4/2020,373,471,146,173,35,71,32,23,50,0
25/4/2020,372,473,146,173,35,71,32,23,50,0
26/4/2020,374,473,150,173,35,71,32,23,50,0
